City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,grand falls-windsor,48.9332,-55.6649,19.71,98,100,1.2,CA,1724109253
83,kyzyl,51.7,94.45,13.85,81,25,2.09,RU,1724109254
84,kapa'a,22.0752,-159.319,29.18,69,20,6.69,US,1724109255
85,al khafji,28.4391,48.4913,33.95,57,5,3.59,SA,1724109256
86,tosontsengel,48.7567,98.2839,13.41,82,100,1.34,MN,1724109257
87,pikalevo,59.5183,34.1664,11.06,99,87,1.75,RU,1724109258
88,khurja,28.25,77.85,28.83,72,97,2.5,IN,1724109260
89,nisia floresta,-6.0911,-35.2086,22.21,86,45,3.52,BR,1724109261
90,sinan,34.8262,126.1086,25.55,88,100,5.53,KR,1724109262
91,ariquemes,-9.9133,-63.0408,30.27,41,87,1.17,BR,1724109229
92,gadzhiyevo,69.2551,33.3362,12.2,86,100,2.47,RU,1724109264
93,pangai,-19.8,-174.35,25.06,78,75,1.03,TO,1724109265
94,batticaloa,7.7102,81.6924,25.16,93,99,2.7,LK,1724109266
95,yanam,16.7333,82.2167,26.19,93,100,1.96,IN,1724109268
96,port lincoln,-34.7333,135.8667,14.14,85,93,10.31,AU,1724109269
97,khandyga,62.6667,135.6,15.92,64,100,1.51,RU,1724109271
98,ilulissat,69.2167,-51.1,6.01,61,75,2.06,GL,1724109272
99,yershov,51.3513,48.2766,20.79,46,36,3.02,RU,1724109274
100,najran,17.4924,44.1277,30.33,23,88,2.84,SA,1724109275
101,ha'il,27.5219,41.6907,35.01,17,0,4.12,SA,1724109276
102,san fernando de apure,7.8878,-67.4724,27.18,77,8,0.29,VE,1724109277
103,lycksele,64.5954,18.6735,6.93,93,97,0.0,SE,1724109278
104,khromtau,50.2503,58.4347,14.75,87,1,4.55,KZ,1724109279
105,lebu,-37.6167,-73.65,6.62,73,15,4.07,CL,1724109280
106,tura,25.5198,90.2201,23.1,98,100,1.74,IN,1724109281
107,freetown,8.484,-13.2299,25.84,94,75,4.12,SL,1724109284
108,scottsboro,34.6723,-86.0341,34.05,59,20,3.09,US,1724109285
109,laojunmiao,39.8333,97.7333,16.28,33,1,5.13,CN,1724109286
110,muisne,0.6,-80.0333,24.19,82,54,2.72,EC,1724109287
111,tazovsky,67.4667,78.7,6.48,90,32,2.68,RU,1724109289
112,lompoc,34.6391,-120.4579,25.88,68,0,5.66,US,1724109290
113,aasiaat,68.7098,-52.8699,2.51,78,100,2.15,GL,1724109291
114,acapulco de juarez,16.8634,-99.8901,30.9,66,75,3.6,MX,1724109090
115,georgetown,5.4112,100.3354,26.64,87,40,5.14,MY,1724109276
116,whitehorse,60.7161,-135.0538,24.45,32,75,8.23,CA,1724109294
117,gebeit,21.0667,36.3167,31.36,30,54,2.6,SD,1724109295
118,vilyuchinsk,52.9306,158.4028,13.15,73,99,2.33,RU,1724109297
119,wajir,1.7471,40.0573,24.43,55,17,7.12,KE,1724109298
120,el carmen,8.5106,-73.4478,23.04,85,37,1.49,CO,1724109299
121,colonia menno,-22.3667,-59.8167,34.17,20,64,4.71,PY,1724109300
122,luderitz,-26.6481,15.1594,15.55,58,0,3.4,NA,1724109301
123,las animas,-39.8087,-73.2182,8.08,96,97,1.13,CL,1724109302
124,phan rang-thap cham,11.5667,108.9833,25.23,86,90,0.89,VN,1724109303
